region,date,cpi_inflation,unemployment_rate,hpi_nominal_growth,vacancy_rate
CAN_NB,2023-01-01,0.005607073538925977,0.06366666666666668,0.0,0.038
CAN_NB,2023-04-01,0.01286725284151835,0.06466666666666666,0.0,0.044000000000000004
CAN_NB,2023-07-01,0.008892652974804127,0.07,0.0,0.035
CAN_NB,2023-10-01,-0.002938090241343172,0.06533333333333334,-0.0008368200836821327,
CAN_NB,2024-01-01,0.0044201220795623275,0.07333333333333333,0.0005583472920156485,
CAN_NB,2024-04-01,0.018231349538977204,0.07333333333333333,0.0044642857142858094,
CAN_NB,2024-07-01,-0.0010290183165261313,0.066,0.0,
CAN_NB,2024-10-01,-0.003914297486608986,0.07166666666666667,0.0019444444444445264,
CAN_NL,1998-01-01,0.0021660649819497113,0.17099999999999999,0.0006934812760055475,
CAN_NL,1998-04-01,-0.0010806916426513435,0.172,-0.00554400554400547,
CAN_NL,1998-07-01,-0.00036062026685912407,0.18733333333333335,-0.0027874564459928752,
CAN_NL,1998-10-01,0.0014430014430015792,0.17733333333333334,-0.002795248078267254,
CAN_NL,1999-01-01,0.0003602305475502998,0.16433333333333333,0.0070077084793274125,
CAN_NL,1999-04-01,0.012243428159884884,0.1776666666666667,0.0,
CAN_NL,1999-07-01,0.005691924581999297,0.17066666666666666,0.005567153792623403,
CAN_NL,1999-10-01,0.004952246197382326,0.15366666666666667,-0.0041522491349481605,
CAN_NL,2000-01-01,0.012319605772615372,0.17133333333333334,0.006254343293954356,
CAN_NL,2000-04-01,0.001738525730180962,0.15933333333333333,0.012430939226519166,
CAN_NL,2000-07-01,0.011107254425546609,0.16333333333333333,0.012278308321964637,
CAN_NL,2000-10-01,0.003089598352214118,0.16866666666666666,0.0006738544474393926,
CAN_NL,2001-01-01,0.0010266940451746365,0.15633333333333335,0.0,
CAN_NL,2001-04-01,0.00512820512820511,0.16400000000000003,0.0,
CAN_NL,2001-07-01,0.001700680272108901,0.16166666666666668,0.022222222222222143,
CAN_NL,2001-10-01,-0.011205432937181792,0.15833333333333333,0.0,
CAN_NL,2002-01-01,0.004120879120879106,0.16699999999999998,0.009222661396574239,
CAN_NL,2002-04-01,0.02838577291381683,0.163,0.014360313315927131,
CAN_NL,2002-07-01,0.0033255736614565823,0.16400000000000003,0.016731016731016624,
CAN_NL,2002-10-01,0.011600928074245953,0.175,0.012025316455696267,
CAN_NL,2003-01-01,0.008846657929226565,0.17133333333333337,0.0062539086929329635,
CAN_NL,2003-04-01,0.002923026956804353,0.159,0.009322560596643825,
CAN_NL,2003-07-01,0.0032383419689119286,0.16333333333333333,0.010467980295566504,
CAN_NL,2003-10-01,-0.004519044544867623,0.17,0.01218769043266299,
CAN_NL,2004-01-01,0.003566796368352776,0.15633333333333332,0.006020469596628386,
CAN_NL,2004-04-01,0.013247172859450762,0.15866666666666668,0.018551765409934085,
CAN_NL,2004-07-01,0.009885204081632404,0.15233333333333335,0.026439482961222005,
CAN_NL,2004-10-01,0.003789074834227968,0.15233333333333335,0.012593016599885765,
CAN_NL,2005-01-01,0.0018873859704311435,0.14766666666666667,0.015262860373092213,
CAN_NL,2005-04-01,0.012872841444270033,0.15233333333333335,0.009465478841870878,
CAN_NL,2005-07-01,0.008989460632361945,0.15233333333333335,0.007170435741864267,
CAN_NL,2005-10-01,-0.003379416282642156,0.15333333333333335,0.009309967141292397,
CAN_NL,2006-01-01,0.00339087546239214,0.15533333333333332,0.004883342376559741,
CAN_NL,2006-04-01,0.015668202764977046,0.15266666666666664,0.004319654427645814,
CAN_NL,2006-07-01,0.0015124016938898865,0.151,0.028494623655914042,
CAN_NL,2006-10-01,-0.011476895197825465,0.13966666666666666,0.00209095661265013,
CAN_NL,2007-01-01,0.009776963030858399,0.148,0.004173187271778955,
CAN_NL,2007-04-01,0.01180030257186071,0.135,0.009870129870129807,
CAN_NL,2007-07-01,-0.0017942583732057926,0.13233333333333333,0.02829218106995901,
CAN_NL,2007-10-01,0.0023966446974239553,0.131,0.027513756878439155,
CAN_NL,2008-01-01,0.0077704722056186615,0.13066666666666668,0.04186952288218104,
CAN_NL,2008-04-01,0.01868327402135206,0.13299999999999998,0.0822429906542057,
CAN_NL,2008-07-01,0.013973799126637543,0.13333333333333333,0.06735751295336767,
CAN_NL,2008-10-01,-0.016652311225954675,0.141,0.031148867313915973,
CAN_NL,2009-01-01,-0.007883211678832214,0.15,0.02236171047469604,
CAN_NL,2009-04-01,0.015597410241318554,0.15633333333333332,0.00652340752110514,
CAN_NL,2009-07-01,0.0008693132425381389,0.16833333333333333,0.01067479984750297,
CAN_NL,2009-10-01,0.0,0.16,0.01056205205582783,
CAN_NL,2010-01-01,0.013028372900984353,0.15433333333333332,0.024636058230683044,
